CC(C)I.CNCc1ccccc1.O=CC1CCC1|8>>CC(C)C(C1CCC1)N(C)Cc1ccccc1
C=Cc1ccccc1.Fc1ccc2c(c1)c1cc(F)ccc1[s+]2C(F)(F)F.O|0>>O=COC(CC(F)(F)F)c1ccccc1
CCCCI.O=C(/C=C/c1ccccc1)c1ccccc1.O=S([O-])[N+]12CC[N+](S(=O)[O-])(CC1)CC2|45>>CCCCS(=O)(=O)C(CC(=O)c1ccccc1)c1ccccc1
C#Cc1cccc(C#C)c1.Cc1ccc(S(=O)(=O)N/N=C/c2ccccc2O)cc1.O=O|3>>C#Cc1cccc(-c2cc3ccccc3oc2=O)c1
C=Cc1ccc(C)cc1.Cc1ccc(S)cc1.O=C=O|27>>Cc1ccc(SC(CC(=O)O)c2ccc(C)cc2)cc1
C=Cc1ccccc1O.CC(C)O[n+]1ccccc1.CS(C)=CC(=O)c1ccc(Br)cc1.F[B-](F)(F)F|6>>CC(C)OC[C@H]1c2ccccc2OC1C(=O)c1ccc(Br)cc1
C#CCOC1CCCCO1.CO.Nc1ccccc1C(=O)O.O=O|3>>COC(=O)c1ccccc1NC(=O)CCOC1CCCCO1
CC(C)I.CCCC=O.CNc1ccccc1|8>>CCCC(C(C)C)N(C)c1ccccc1
C#Cc1ccc(CCCC)cc1.CO.c1ccc(CNc2ccccc2)cc1|3>>CCCCc1ccc(C#CCN(Cc2ccccc2)c2ccccc2)cc1
C=C(c1ccccc1)c1ccccc1.CCCC=O.c1ccc(C2CCNCC2)cc1|0>>CCCC(CC(c1ccccc1)c1ccccc1)N1CCC(c2ccccc2)CC1
C/C=C/C(=O)n1nc(C)cc1C.Cc1ccsc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|14>>Cc1cc(C)n(C(=O)C[C@@H](C)S(=O)(=O)Cc2ccsc2)n1
C=C(C)c1cccc(N)c1.C[Si](C)(C)N=[N+]=[N-].O=O|21>>CC(O)(CN=[N+]=[N-])c1cccc(N)c1
C=Cc1ccc(Br)cc1.CC#N.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.O|0>>CC(=O)NC(CC(F)(F)F)c1ccc(Br)cc1
C=Cc1ccccc1.CC(=O)O.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F|0>>CC(=O)OC(CC(F)(F)F)c1ccccc1
C=C(O[Si](C(C)C)(C(C)C)C(C)C)c1cccnc1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I.N[C@H]1c2ccccc2C[C@H]1O|1>>O=C(C[C@@]1(C(F)(F)C(F)(F)C(F)(F)F)N[C@H]2c3ccccc3C[C@H]2O1)c1cccnc1
C=C(O[Si](C)(C)C)c1ccccc1.C=CCC/C(=N/Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc(Br)cc1.O=[S-](=O)[N+]12CC[N+]([S-](=O)=O)(CC1)CC2|0>>O=C(CS(=O)(=O)CC1CCC(c2ccc(Br)cc2)=N1)c1ccccc1
C=C(c1ccccc1)C1CC1.CO.O=C(ON=C1CCC1)c1ccc(C(F)(F)F)cc1.O=S(O[K])OS(=O)O[K]|0>>COC(CS(=O)(=O)CCCC#N)(c1ccccc1)C1CC1
COc1ccc(C=O)cc1.Nc1ccc(C(F)(F)F)cc1.OB(O)C1CCCC1|2>>COc1ccc(C(Nc2ccc(C(F)(F)F)cc2)C2CCCC2)cc1
C=Cc1ccc(C)cc1.Cn1c(=O)cnc2ccccc21.F[B-](F)(F)F.N#[N+]c1ccccc1.O=S(O[Na])OS(=O)O[Na]|1>>Cc1ccc(C(CS(=O)(=O)c2ccccc2)c2nc3ccccc3n(C)c2=O)cc1
C=CC=C.CC(C)=CCOc1ccccc1Br.CCNCC|0>>CCN(CC)C/C=C/CC(C)(C)C1COc2ccccc21
C=Cc1cccc(Cl)c1.Cc1ccc(S(=O)(=O)N[n+]2ccccc2)cc1.F[B-](F)(F)F|0>>CC1=NC(c2cccc(Cl)c2)CN1S(=O)(=O)c1ccc(C)cc1
C=CS(=O)(=O)c1ccccc1.CC[SiH](CC)CC.O=C=O|0>>CC[Si](CC)(CC)CC(C(=O)O)S(=O)(=O)c1ccccc1
C=C/C=C/CC(C)(C)C.C[Si](C)(C)N=[N+]=[N-].Cc1cc(C)[n+](NC(=O)OC(C)(C)C)c(C)c1.F[B-](F)(F)F|1>>CC(C)(C)/C=C/C(CNC(=O)OC(C)(C)C)N=[N+]=[N-]
C#Cc1ccccc1.COc1ccc(N)cc1C.O=O|3>>COc1ccc(NC(=O)Cc2ccccc2)cc1C
