,reaction,photocatalyst,base,additive,solvent,time(h),yield/%,source,Unnamed: 8,Unnamed: 9,Unnamed: 10,base/acid,canonized_rxns,cat_class,base_class,additive_class,solvent_class
0,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.CO>>COC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,78,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,1.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CO>>COC(CC(F)(F)F)c1ccccc1,1,0,0,5
1,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OCC>>CCOC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,75,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,2.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CCO>>CCOC(CC(F)(F)F)c1ccccc1,1,0,0,5
2,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OCCC>>CCCOC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,76,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,3.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CCCO>>CCCOC(CC(F)(F)F)c1ccccc1,1,0,0,5
3,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OC(C)(C)C>>CC(C)(C)OC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,84,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,4.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CC(C)(C)O>>CC(C)(C)OC(CC(F)(F)F)c1ccccc1,1,0,0,5
4,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OC(CC)(C)C>>CC(C)(CC)OC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,51,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,5.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CCC(C)(C)O>>CCC(C)(C)OC(CC(F)(F)F)c1ccccc1,1,0,0,5
5,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OC5CCCC5>>FC(CC(OC6CCCC6)C7=CC=CC=C7)(F)F,fac-Ir(ppy)3,,,DCE,2.0,72,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,6.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.OC1CCCC1>>FC(F)(F)CC(OC1CCCC1)c1ccccc1,1,0,0,5
6,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OCCOC>>COCCOC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,74,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,7.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.COCCO>>COCCOC(CC(F)(F)F)c1ccccc1,1,0,0,5
7,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OCCOCC>>CCOCCOC(CC(F)(F)F)C5=CC=CC=C5,fac-Ir(ppy)3,,,DCE,2.0,87,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,8.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CCOCCO>>CCOCCOC(CC(F)(F)F)c1ccccc1,1,0,0,5
8,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OC(C)=O>>CC(OC(CC(F)(F)F)C5=CC=CC=C5)=O,fac-Ir(ppy)3,,,DCE,2.0,74,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,9.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CC(=O)O>>CC(=O)OC(CC(F)(F)F)c1ccccc1,1,0,0,5
9,C=CC1=CC=CC=C1.FC([S+]2C3=C(C=CC=C3)C4=C2C=CC=C4)(F)F.F[B-](F)(F)F.OC(CC)=O>>CCC(OC(CC(F)(F)F)C5=CC=CC=C5)=O,fac-Ir(ppy)3,,,DCE,2.0,72,"Angew. Chem., Int. Ed., 2012, 51, 9567–9571",37.0,10.0,,,C=Cc1ccccc1.FC(F)(F)[s+]1c2ccccc2c2ccccc21.F[B-](F)(F)F.CCC(=O)O>>CCC(=O)OC(CC(F)(F)F)c1ccccc1,1,0,0,5
